2026-06-01 13:24:30,105 | INFO | framework | Execution started at 2026-06-01T13:24:30.105808
2026-06-01 13:25:34,489 | INFO | framework | Execution completed. Summary={'total': 3, 'passed': 0, 'failed': 3, 'pass_percent': 0.0}
2026-06-01 14:12:28,217 | INFO | framework | Execution started at 2026-06-01T14:12:28.217306
2026-06-01 14:12:28,276 | INFO | framework | Execution completed. Summary={'total': 3, 'passed': 0, 'failed': 3, 'pass_percent': 0.0}
2026-06-01 14:14:58,041 | INFO | framework | Execution started at 2026-06-01T14:14:58.041654
2026-06-01 14:14:58,118 | INFO | framework | Execution completed. Summary={'total': 3, 'passed': 0, 'failed': 3, 'pass_percent': 0.0}
2026-06-01 14:18:53,919 | INFO | framework | Execution started at 2026-06-01T14:18:53.919284
2026-06-01 14:18:53,998 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 0, 'failed': 4, 'pass_percent': 0.0}
2026-06-01 14:19:49,505 | INFO | framework | Execution started at 2026-06-01T14:19:49.505511
2026-06-01 14:19:49,616 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 0, 'failed': 4, 'pass_percent': 0.0}
2026-06-01 14:21:49,999 | INFO | framework | Execution started at 2026-06-01T14:21:49.998962
2026-06-01 14:21:50,183 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:24:36,705 | INFO | framework | Execution started at 2026-06-01T14:24:36.705031
2026-06-01 14:24:36,877 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:24:37,645 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:27:09,864 | INFO | framework | Execution started at 2026-06-01T14:27:09.864279
2026-06-01 14:27:10,053 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:27:10,559 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:29:56,798 | INFO | framework | Execution started at 2026-06-01T14:29:56.798276
2026-06-01 14:29:56,965 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:30:02,287 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:31:19,448 | INFO | framework | Execution started at 2026-06-01T14:31:19.448271
2026-06-01 14:31:19,677 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:31:25,052 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:34:00,114 | INFO | framework | Execution started at 2026-06-01T14:34:00.114688
2026-06-01 14:34:00,291 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:34:05,566 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:34:21,950 | INFO | framework | Execution started at 2026-06-01T14:34:21.950445
2026-06-01 14:34:22,092 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:34:27,362 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:36:40,914 | INFO | framework | Execution started at 2026-06-01T14:36:40.914175
2026-06-01 14:36:41,073 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:36:55,676 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 2, 'failed': 2, 'pass_percent': 50.0}
2026-06-01 14:38:00,589 | INFO | framework | Execution started at 2026-06-01T14:38:00.588999
2026-06-01 14:38:00,772 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:38:18,270 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:40:05,400 | INFO | framework | Execution started at 2026-06-01T14:40:05.400303
2026-06-01 14:40:05,577 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:40:23,046 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-01 14:41:25,414 | INFO | framework | Execution started at 2026-06-01T14:41:25.414458
2026-06-01 14:41:25,589 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:41:37,005 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 3, 'failed': 1, 'pass_percent': 75.0}
2026-06-01 14:47:44,617 | INFO | framework | Execution started at 2026-06-01T14:47:44.617898
2026-06-01 14:47:44,795 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 14:48:02,218 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 2, 'failed': 2, 'pass_percent': 50.0}
2026-06-01 18:25:37,777 | INFO | framework | Execution started at 2026-06-01T18:25:37.777624
2026-06-01 18:25:38,110 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-01 18:25:55,641 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 2, 'failed': 2, 'pass_percent': 50.0}
2026-06-02 15:43:24,694 | INFO | framework | Execution started at 2026-06-02T15:43:24.694408
2026-06-02 15:44:28,932 | WARNING | framework | Auth API executed but token not found at path 'token' for tc_id=TC001
2026-06-02 15:44:28,980 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 1, 'failed': 3, 'pass_percent': 25.0}
2026-06-02 15:44:39,605 | INFO | framework | Execution started at 2026-06-02T15:44:39.605865
2026-06-02 15:44:39,773 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-02 15:44:57,244 | INFO | framework | Execution completed. Summary={'total': 4, 'passed': 2, 'failed': 2, 'pass_percent': 50.0}
2026-06-02 15:47:27,485 | INFO | framework | Execution started at 2026-06-02T15:47:27.485586
2026-06-02 15:47:27,671 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-02 15:47:32,982 | INFO | framework | Execution completed. Summary={'total': 5, 'passed': 3, 'failed': 2, 'pass_percent': 60.0}
2026-06-03 10:39:20,758 | INFO | framework | Execution started at 2026-06-03T10:39:20.758025
2026-06-03 10:39:21,034 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 10:39:51,199 | INFO | framework | Execution completed. Summary={'total': 5, 'passed': 1, 'failed': 4, 'pass_percent': 20.0}
2026-06-03 10:44:17,457 | INFO | framework | Execution started at 2026-06-03T10:44:17.457136
2026-06-03 10:44:17,697 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 10:44:23,060 | INFO | framework | Execution completed. Summary={'total': 5, 'passed': 2, 'failed': 3, 'pass_percent': 40.0}
2026-06-03 13:00:19,760 | INFO | framework | Execution started at 2026-06-03T13:00:19.760723
2026-06-03 13:00:20,092 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:00:25,615 | INFO | framework | Execution completed. Summary={'total': 5, 'passed': 3, 'failed': 2, 'pass_percent': 60.0}
2026-06-03 13:14:30,276 | INFO | framework | Execution started at 2026-06-03T13:14:30.276157
2026-06-03 13:14:30,619 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:14:48,744 | INFO | framework | Execution completed. Summary={'total': 6, 'passed': 4, 'failed': 2, 'pass_percent': 66.67}
2026-06-03 13:15:30,348 | INFO | framework | Execution started at 2026-06-03T13:15:30.348057
2026-06-03 13:15:30,516 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:15:48,046 | INFO | framework | Execution completed. Summary={'total': 6, 'passed': 5, 'failed': 1, 'pass_percent': 83.33}
2026-06-03 13:23:18,104 | INFO | framework | Execution started at 2026-06-03T13:23:18.104376
2026-06-03 13:23:18,418 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:23:36,288 | INFO | framework | Execution completed. Summary={'total': 7, 'passed': 5, 'failed': 2, 'pass_percent': 71.43}
